label,price
1001,250
Atlas0.5l,30
BarakaTorsade,130
,
,
,
ChatPowerGel,640
Chlorox,180
CotexRoseB,110
Darni crack3rs,80
DimaMargarin500g,200
GelDVenusCoco,125
Kool choco max,50
LOrageAgrumes,150
LOrageMarine,150
Mamzoudjfraise,40
MedinaSmen500g,380
Mini bilux blanc,50
NourAlArche100g,300
Ramdy16,270
RamyOFP1L,120
RecamarOil,320
Recamarthontomate,320
Regalonoisette,185
Rouiba cootal 33cl,60
SpaghettiMahbouba,120
The vitl,280
ThéVertChaina,250
Wellmax,280
Wellmax15w,350
agile,180
agileNetCuisine,220
agridiv,380
aigleBlanch,280
aigleM,320
aigleRose,300
airpureBarry,320
airpurecitron,320
amirBlanc,280
amirBlue,280
amirRose,280
amirb,250
amorFraise,180
amorconfiturepeche,150
amourMagaron,380
amourMagaronESC,350
amourMagarongrand,520
amourMagronPetit,280
amourconfiturefigue,280
amourconfitureorange,280
amourconfiturepomme,280
aroma250g,320
awane,180
ayris0.5l,30
baharBlue,280
baharCitron,280
baharRose,280
baharmauve,280
bahdjaOrange,120
bahdjaPom,120
bahdjacitron,120
barakaCoude,120
barkokmnaka3,100
bestCitron,100
bestFramboise,100
bestOrange,100
bimbies16,250
bimbies2,40
bimbies3,60
bimbies4,80
bimbies5,100
bingo300g,350
bingo750g,750
biomilBlue3,950
biomilRose1,920
biomilvert2,930
biscwik,120
bref2l,380
brefMoussant,280
brefPurePower,95
brutchocolatnoire,140
brutminis,140
brutminisnoixdecoco,150
brutministoutchocolate,120
brutmulticereales,120
bruttoutchocolat,120
candyChoco1l,120
cannellani,150
chahrazadChamyaBlue,260
cheezy450g,340
cheezyfromage24p,225
coeurcerealesSkiffi,380
coexdeluxe,280
coffeearomagold,310
coffeebolila125,220
coffeebolila250,220
condialait1L,130
confitureAbricots,280
confitureCerises,300
cotex3,120
cotex4,120
cotex4orange,120
couscousMamaGros,175
couscousMamaMoyen,185
couscousNakhala,140
cristalCerise,100
cristalCitron,100
cristalFraise,100
cristalpeche,100
crok,80
crémeliquidelemaitre20cl,240
delicesPomme,150
delicisFraise,150
dellicianochcopillowsbiscuitsfourrée,180
dilicianochocopillow,160
djadatiBrickRoge,200
doubleMix200g,320
dulcesolcacao,250
dulcesolcaramel,250
dulcesolnoisette,250
elasauceabricot,185
elasaucefraise,200
elharatomateconcentré,180
elio1l,125
elio2l,250
elio5l,630
ellasaucealgerienne,145
enselsalt1kg,80
extra6coude,130
